"","ASV","HEV01a","HEV02a","HEV03a","HEV04a","HEV05a","HEV07a","HEV10a","HEV11a","HEV12a","HEV13a","HEV14a","HEV15a","HEV16a","HEV17a","HEV18a","HEV20a","HEV21a","HEV22a","HEV23a","HEV24a","HEV25a","HEV26a","HEV27a","HEV29a","HEV32a","HEV34a","HEV38a","HEV39a","HEV40a","HEV42a","HEV45a","HEV49a","HEV50a","HEV65a","HEV66a","HEV67a","HEV68a","HEV70a","HEV71a","HEV74a","HEV76a","HEV79a","HEV81a","HEV82a","HEV83a","HEV87a","HEV88a","HEV89a","NEO10a","NEO11a","NEO12a","NEO13a","NEO14a","NEO15a","NEO16a","NEO17a","NEO18a","NEO19a","NEO1a","NEO20a","NEO21a","NEO22a","NEO23a","NEO24a","NEO25a","NEO26a","NEO2a","NEO3a","NEO4a","NEO5a","NEO6a","NEO7a","NEO8a","NEO9a","SCY10a","SCY12a","SCY15a","SCY16a","SCY17a","SCY3a","SCY4a","SCY7a","SCY8a","SCY9a","CEN10b","CEN11b","CEN12b","CEN13b","CEN14b","CEN15b","CEN16b","CEN17b","CEN1b","CEN2b","CEN3b","CEN4b","CEN6b","CEN7b","CEN8b","CEN9b","PHH10b","PHH16b","PHH20b","PHH21b","PHH22b","PHH23b","PHH24b","PHH25b","PHH30b","PHH32b","PHH34b","PHH35b","PHH38b","PHH39b","PHH40b","PHH41b","PHH42b","PHH43b","PHH44b","PHH45b","PHH46b","PHH47b","PHH49b","PHH4b","PHH50b","PHH51b","PHH52b","PHH53b","PHH54b","PHH55b","PHH56b","PHH57b","PHH58b","PHH59b","PHH5b","PHH60b","PHH61b","PHH62b","PHH63b","PHH65b","PHH66b","PHH67b","PHH68b","PHH69b","PHH6b","PHH70b","PHH71b","PHH72b","PHH73b","PHH74b","PHH75b","PHH7b","PHH8b","PHH9b","SME10b","SME11b","SME12b","SME13b","SME14b","SME1b","SME2b","SME3b","SME5b","SME6b","SME7b","SME8b","SME9b","EUB10c","EUB12c","EUB13c","EUB15c","EUB16c","EUB18c","EUB19c","EUB1c","EUB20c","EUB21c","EUB23c","EUB24c","EUB25c","EUB26c","EUB27c","EUB28c","EUB29c","EUB2c","EUB30c","EUB31c","EUB32c","EUB34c","EUB35c","EUB36c","EUB3c","EUB4c","EUB5c","EUB6c","EUB7c","EUB8c","EUB9c","ISO10c","ISO11c","ISO12c","ISO13c","ISO14c","ISO15c","ISO16c","ISO17c","ISO18c","ISO19c","ISO1c","ISO20c","ISO21c","ISO22c","ISO23c","ISO24c","ISO25c","ISO26c","ISO27c","ISO2c","ISO30c","ISO31c","ISO32c","ISO33c","ISO34c","ISO35c","ISO36c","ISO37c","ISO4c","ISO5c","ISO6c","ISO7c","ISO8c","ISO9c","LRS2c","LRS3c","LRS5c","LRS6c","LRS7c","LRS8c","PAN10c","PAN11c","PAN12c","PAN13c","PAN14c","PAN15c","PAN1c","PAN2c","PAN3c","PAN4c","PAN5c","PAN6c","PAN7c","PAN8c","PAN9c","HEV100d","HEV101d","HEV102d","HEV103d","HEV104d","HEV105d","HEV106d","HEV107d","HEV108d","HEV109d","HEV110d","HEV111d","HEV90d","HEV91d","HEV92d","HEV93d","HEV94d","HEV95d","HEV96d","HEV97d","HEV98d","HEV99d"
"1","1",141017,93773,89067,103753,136917,85469,62168,143786,98581,62957,58979,152784,112197,109113,113102,122211,116140,109870,111016,94578,93958,157222,65409,98198,123117,148876,164645,122160,152024,146002,135426,129484,108146,98997,67539,19278,52072,66629,78616,130901,98110,100765,68054,62258,105758,67949,135431,102709,76,64,99,102,57,0,33,32,53,344,130,40,92,69,26,66,259,419,67,108,108,123,182,140,33,66,205,81,95,277,165,163,76,104,197,209,11,3,11,4,2,0,0,4,0,2,0,0,1,8,1,0,0,9,3,3,3,9,0,5,0,0,25,19,7,0,3,2,24,22,2,0,12,6,43,0,13,0,0,0,172,78,10,0,10,0,0,0,5,123,0,207,24,72,9,16,4,16,13,57,12,21,42,3,0,0,153,329,90,144,47,97,31,135,37,117,55,10,37,6,15,8,0,0,16,6,0,9,0,5,0,1,2,0,0,2,1,4,7,0,0,0,0,7,0,0,0,24,0,0,12,10,4,4,0,0,4,0,0,0,0,0,0,0,0,0,3,4,3,0,10,7,0,0,0,1,0,0,0,0,0,10,0,5,18,39,5,47,28,13,1,3,4,0,0,0,0,0,2,0,1,5,3,0,2,177549,219330,186655,199567,134657,144754,188144,165465,143668,187585,180906,216838,184279,117123,69975,177197,236332,185771,218388,201722,177748,229747
"2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,7,0,0,0,0,1,0,7,0,3992,1069,741,172,120,2786,2130,819,105,1272,213,3567,38,6127,333,1607,78371,87968,73144,86524,99907,77148,79621,111987,22351,79615,93465,80554,112770,43485,86079,58399,96166,100087,69379,55117,113660,74355,79572,78918,121006,90456,89844,81728,62610,59794,86084,85751,94314,80542,99013,92945,84052,61901,95682,65690,102155,83341,105404,80539,46614,89915,72847,83787,101048,80025,115157,83231,62097,84417,5,9,10,6,13,2,3,0,2,6,4,2,0,490,1216,0,0,0,3862,0,0,0,0,0,5,0,0,7,15,0,0,58,0,0,0,0,0,371,168,484,0,0,218,665,0,0,0,54,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,52,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","3",20,14,18,16,0,0,42,57,0,25,20,25,13,29,18,0,16,0,0,27,29,58,0,22,37,68,53,24,10,14,17,39,0,0,0,0,12,0,22,14,48,0,15,23,8,30,0,23,101445,114600,111572,122344,110024,0,126343,74314,0,99008,275,117628,48033,74485,0,0,0,132372,10393,582,128594,17521,96013,114830,97711,82855,17,17,15,13,0,0,9,13,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,30,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87235,39569,40530,39019,53750,38567,58986,25857,6763,54036,14,18,22,32,24,24,31,50923,27,29,85203,66222,50375,59893,55154,71989,66007,54242,26678,33624,1116,12,0,18,4,0,0,12,20,3,26,3,774,555,5499,38,1722,35,464,2085,0,55,229,0,218,137,93,55,60,251,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,9,24,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,63,0,363,0
"5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,2,3,0,0,3,0,0,1,6,0,0,0,0,0,0,4,0,123,4,3,3,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,87018,86219,88312,0,86925,0,71963,70461,0,78301,106168,107007,95961,87798,78900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","6",0,0,0,0,0,0,0,0,0,0,9,0,0,7,4,0,0,9,0,0,0,16,14,0,0,15,0,0,6,0,0,16,0,93,61,46,126,68,84,69,0,40,0,8,25,7,4,0,0,9,10,9,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,13,0,0,16,5,107551,109146,108858,88038,12070,70345,118338,94072,94070,106023,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,158,513,192,0,0,199,168,69,7955,535,3265,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,98872,0,0,0,111154,72090,73196,0,82231,31516,0,75440,71210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","9",3,0,1,2,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,0,0,0,0,9222,0,0,0,0,0,0,0,83004,0,99,0,44179,43283,123247,148181,0,0,0,265,0,200,0,0,0,24788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81263,16,14,17,10,3,1,11,75756,15,75062,6,8,70784,10,84644,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,6,0,96,0,7,0,15,0,6,7,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99835,45457,59382,0,0,0,68924,0,0,44722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
